date,btc_open,btc_high,btc_low,btc_close,btc_volume,fng_value,fng_class,active_addresses,tx_count,tx_volume,bitcoin_interest,dollar_value,10Y_yield,cpi,dow_adj,sp_adj,nasdaq_adj,sp_ret,nasdaq_ret,dow_ret
2023-02-24,23870.0,24124.0,23000.0,23090.0,2330.93223335,53.0,Neutral,695824.0,294562.0,138110.01782822996,19,121.6297,3.95,301.476,32816.921875,3970.0400390625,11394.9404296875,-0.010537551485558128,-0.016863952439089114,-0.010164360090915925
2023-02-25,23090.0,23329.0,22865.0,22984.0,1365.74151127,52.0,Neutral,626600.0,258413.0,54608.50912516001,19,121.6297,3.95,301.476,32816.921875,3970.0400390625,11394.9404296875,-0.010537551485558128,-0.016863952439089114,-0.010164360090915925
2023-02-26,22982.0,23528.0,22770.0,23479.0,907.93708571,51.0,Neutral,628404.0,277103.0,35626.29864418001,19,121.6297,3.95,301.476,32816.921875,3970.0400390625,11394.9404296875,-0.010537551485558128,-0.016863952439089114,-0.010164360090915925
2023-02-27,23490.0,23890.0,23170.0,23290.0,1783.2713217,50.0,Neutral,644967.0,292748.0,118339.45406344002,19,121.4656,3.92,301.476,32889.08984375,3982.239990234375,11466.98046875,0.0030730045671669703,0.006322107562301227,0.002199108405867234
2023-02-28,23287.0,23594.0,23126.0,23485.0,1085.8156733,53.0,Neutral,731797.0,332358.0,141462.93220191996,19,121.4062,3.92,301.476,32656.69921875,3970.14990234375,11455.5400390625,-0.0030360018281855305,-0.000997684588255665,-0.007065887992159237
2023-03-01,23486.0,23990.0,23040.0,23695.0,1869.35562112,50.0,Neutral,826824.0,381932.0,139841.33808972992,22,120.6971,4.01,301.643,32661.83984375,3951.389892578125,11379.48046875,-0.004725264845680033,-0.00663954471401107,0.00015741410255709631
2023-03-02,23696.0,23791.0,23206.0,23452.0,1183.55250657,51.0,Neutral,726383.0,330047.0,89085.09385597003,22,121.1949,4.08,301.643,33003.5703125,3981.35009765625,11462.98046875,0.0075821940867943916,0.007337769086146251,0.010462682763273445
2023-03-03,23450.0,23566.0,22000.0,22314.0,2833.01405188,50.0,Neutral,807383.0,355273.0,116727.70548416997,22,120.8468,3.97,301.643,33390.96875,4045.639892578125,11689.009765625,0.0161477371607488,0.019718196108873487,0.011738076633280858
2023-03-04,22316.0,22401.0,22160.0,22324.0,742.49144128,50.0,Neutral,678996.0,306300.0,62108.68574061997,22,120.8468,3.97,301.643,33390.96875,4045.639892578125,11689.009765625,0.0161477371607488,0.019718196108873487,0.011738076633280858
2023-03-05,22326.0,22652.0,22170.0,22437.0,762.63354842,47.0,Neutral,630099.0,286638.0,64515.96964343,22,120.8468,3.97,301.643,33390.96875,4045.639892578125,11689.009765625,0.0161477371607488,0.019718196108873487,0.011738076633280858
2023-03-06,22437.0,22590.0,22263.0,22504.0,1221.3528552,48.0,Neutral,671836.0,316016.0,96900.63773690001,22,120.5776,3.98,301.643,33431.44140625,4048.419921875,11675.740234375,0.0006871667698291617,-0.0011352143180701768,0.0012120839186493537
2023-03-07,22504.0,22547.0,21931.0,22201.0,1684.65205829,49.0,Neutral,771846.0,362082.0,151172.77330459995,22,121.531,3.97,301.643,32856.4609375,3986.3701171875,11530.330078125,-0.015326919115337678,-0.012454041742200883,-0.017198793846875726
